date (D/M/YYYY),station_id,station_name,forecasted_temp,Crop,Temp_Min,Temp_Max,suitability
21/01/2025,91375,Creesy (Brumbys Creek),16.52099999999998,Cotton,20,35,0
21/01/2025,91375,Creesy (Brumbys Creek),16.52099999999998,Grapes,15,30,1
21/01/2025,91375,Creesy (Brumbys Creek),16.52099999999998,Corn,18,27,0
21/01/2025,91375,Creesy (Brumbys Creek),16.52099999999998,Avocados,20,30,0
21/01/2025,91375,Creesy (Brumbys Creek),16.52099999999998,Berries,10,25,1
21/01/2025,91375,Creesy (Brumbys Creek),16.52099999999998,Tomatoes,18,30,0
21/01/2025,91375,Creesy (Brumbys Creek),16.52099999999998,Capsicums,20,30,0
21/01/2025,91375,Creesy (Brumbys Creek),16.52099999999998,Carrots,16,24,1
21/01/2025,91375,Creesy (Brumbys Creek),16.52099999999998,Potatoes,15,20,1
22/01/2025,91375,Creesy (Brumbys Creek),14.968666666666666,Wheat,15,25,0
22/01/2025,91375,Creesy (Brumbys Creek),14.968666666666666,Cotton,20,35,0
22/01/2025,91375,Creesy (Brumbys Creek),14.968666666666666,Grapes,15,30,0
22/01/2025,91375,Creesy (Brumbys Creek),14.968666666666666,Corn,18,27,0
22/01/2025,91375,Creesy (Brumbys Creek),14.968666666666666,Avocados,20,30,0
22/01/2025,91375,Creesy (Brumbys Creek),14.968666666666666,Berries,10,25,1
22/01/2025,91375,Creesy (Brumbys Creek),14.968666666666666,Tomatoes,18,30,0
22/01/2025,91375,Creesy (Brumbys Creek),14.968666666666666,Capsicums,20,30,0
22/01/2025,91375,Creesy (Brumbys Creek),14.968666666666666,Carrots,16,24,0
22/01/2025,91375,Creesy (Brumbys Creek),14.968666666666666,Potatoes,15,20,0
23/01/2025,91375,Creesy (Brumbys Creek),15.458333333333323,Wheat,15,25,1
23/01/2025,91375,Creesy (Brumbys Creek),15.458333333333323,Cotton,20,35,0
23/01/2025,91375,Creesy (Brumbys Creek),15.458333333333323,Grapes,15,30,1
23/01/2025,91375,Creesy (Brumbys Creek),15.458333333333323,Corn,18,27,0
23/01/2025,91375,Creesy (Brumbys Creek),15.458333333333323,Avocados,20,30,0
23/01/2025,91375,Creesy (Brumbys Creek),15.458333333333323,Berries,10,25,1
23/01/2025,91375,Creesy (Brumbys Creek),15.458333333333323,Tomatoes,18,30,0
23/01/2025,91375,Creesy (Brumbys Creek),15.458333333333323,Capsicums,20,30,0
23/01/2025,91375,Creesy (Brumbys Creek),15.458333333333323,Carrots,16,24,0
23/01/2025,91375,Creesy (Brumbys Creek),15.458333333333323,Potatoes,15,20,1
24/01/2025,91375,Creesy (Brumbys Creek),18.477,Wheat,15,25,1
24/01/2025,91375,Creesy (Brumbys Creek),18.477,Cotton,20,35,0
24/01/2025,91375,Creesy (Brumbys Creek),18.477,Grapes,15,30,1
24/01/2025,91375,Creesy (Brumbys Creek),18.477,Corn,18,27,1
24/01/2025,91375,Creesy (Brumbys Creek),18.477,Avocados,20,30,0
24/01/2025,91375,Creesy (Brumbys Creek),18.477,Berries,10,25,1
24/01/2025,91375,Creesy (Brumbys Creek),18.477,Tomatoes,18,30,1
24/01/2025,91375,Creesy (Brumbys Creek),18.477,Capsicums,20,30,0
24/01/2025,91375,Creesy (Brumbys Creek),18.477,Carrots,16,24,1
24/01/2025,91375,Creesy (Brumbys Creek),18.477,Potatoes,15,20,1
25/01/2025,91375,Creesy (Brumbys Creek),17.11666666666664,Wheat,15,25,1
25/01/2025,91375,Creesy (Brumbys Creek),17.11666666666664,Cotton,20,35,0
